filtres,nom_produit,description_produit,image_produit,categorie_produit,calories_produit,saison_produit,unit_type
,Abricot,L'abricot est un fruit.,abricot.jpg,fruits,48,ete,kg
,Ail,L'ail est un légume.,ail.jpg,légumes,149,printemps;ete,pièce(s)
,Airelle,L'airelle est un fruit,airelle.jpg,fruits,100,ete,kg
,Amande,L'amande est un fruit,amande.jpg,fruits,580,ete,kg
,Ananas,L'ananas est un fruit,ananas.jpg,fruits,50,automne;hiver;printemps,pièce(s)
,Artichaut,L'artichaut est un légume.,artichaud.jpg,légumes,47,ete,pièce(s)
,Asperge blanche,L'asperge blanche est un légume,asperge_blanche.jpg,légumes,24,printemps,pièce(s)
,Asperge verte,L'asperge verte est un légume,asperge_verte.jpg,légumes,20,printemps,pièce(s)
,Aubergine,L'aubergine est un légume ,aubergine.jpg,légumes,25,printemps;ete,pièce(s)
,Avocat,L'avocat est un fruit,avocat.jpg,fruits,204,printemps;ete;automne;hiver,pièce(s)
,Banane,La banane est un fruit,banane.jpg,fruits,89,printemps;ete;automne;hiver,pièce(s)
,Bette,La bette est un légume,bette.jpg,légumes,19,printemps;ete,kg
,Betterave rouge,La betterave rouge est un légume,betterave_rouge.jpg,légumes,44,printemps;ete,pièce(s)
,Brocoli,Le brocoli est un légume,brocoli.jpg,légumes,34,ete,pièce(s)
,Carotte,La carotte est un légume,carotte.jpg,légumes,41,printemps;ete;automne;hiver,pièce(s)
,Cassis,La cassis est un fruit,cassis.jpg,fruits,253,ete,kg
,Catalonia,La catalonia est un légume,catalonia.jpg,légumes,15,ete;automne,pièce(s)
,Céleri,Le céleri est un légume,celeri.jpg,légumes,16,printemps;ete;automne;hiver,kg
,Céleri branche,Le céleri branche un est légume,celeri_blanche.jpg,légumes,15,ete;automne,kg
,Céleri rave,Le céleri rave est un légume,celeri_rave.jpg,légumes,42,automne,kg
,Cerise,La cerise est un fruit,cerise.jpg,fruits,50,ete,kg
,Chou blanc,Le chou blanc est un légume,chou_blanc.jpg,légumes,25,printemps;ete;automne;hiver,pièce(s)
,Chou de bruxelles,Le chou de bruxelles est un légume,chou_de_bruxelles.jpg,légumes,43,automne;hiver,kg
,Chou frisé,Le chou frisé est un légume,chou_frise.jpg,légumes,49,printemps;ete;automne;hiver,pièce(s)
,Chou romanesco,Le chou romanesco est un légume,chou_romane.jpg,légumes,29,ete,pièce(s)
,Chou rouge,Le chou rouge est un légume,chou_rouge.jpg,légumes,31,printemps;ete;automne;hiver,pièce(s)
,Chou chinois,Le chou chinois est un légume,chou_chinois.jpg,légumes,12,printemps;ete;automne;hiver,pièce(s)
,Chou-fleur,Le chou-fleur est un légume ,chou_fleur.jpg,légumes,25,printemps;ete,pièce(s)
,Chou-rave,Le chou-rave est un légume,chou_rave.jpg,légumes,27,printemps;ete;automne;hiver,pièce(s)
,Cima di rapa,Le cima di rapa est un légume,cima_di_rapa.jpg,légumes,22,ete;automne,pièce(s)
,Citron,Le citron est un fruit,citron.jpg,légumes,29,printemps;ete;automne;hiver,pièce(s)
,Citrouille,La citrouille est un légume,citrouille.jpg,légumes,26,automne;hiver,pièce(s)
,Clémentine,La clémentine est un fruit,clementine.jpg,fruits,47,hiver,kg
,Coing,Le coing est un fruit,coing.jpg,fruits,57,automne,kg
,Concombre,Le concombre est un légume,concombre.jpg,légumes,16,printemps;ete,pièce(s)
,Courge,La courge est un légume,courge.jpg,légumes,26,printemps;ete,pièce(s)
,Courgette,La courgette est un légume,courgette.jpg,légumes,17,ete,pièce(s)
,Datte,La datte est un fruit,datte.jpg,fruits,300,ete;automne;hiver,kg
,Endive,L'endive est un légume,endive.jpg,légumes,17,automne;hiver,kg
,Epinard,L'epinard est un légume,epinard.jpg,légumes,23,printemps;ete;automne,kg
,Fenouil,Le fenouil est un légume,fenouil.jpg,légumes,31,printemps;ete;automne,kg
,Figue fraéche,La figue fraéche est un fruit,figue_fraiche.jpg,fruits,73,ete,kg
,Fraise,La fraise est un fruit,fraise.jpg,fruits,32,printemps;ete,kg
,Fraise des bois,La fraise des bois est un fruit,fraise_des_bois.jpg,fruits,32,printemps;ete,kg
,Framboise,La framboise est un fruit,framboise.jpg,fruits,53,ete,kg
,Fruit de la passion,Le fruit de la passion est un fruit,fruit_de_la_passion.jpg,fruits,97,printemps;ete;automne;hiver,kg
,Grenade ,La grenade est un fruit,grenade.jpg,fruits,83,hiver,kg
,Groseille,La groseille est un fruit,groseille.jpg,fruits,56,ete,kg
,Groseille é maquereau,La groseille é maquereau est un fruit,groseille_a_maquereau.jpg,fruits,44,ete,kg
,Haricot,L'haricot est un légume,haricot.jpg,légumes,24,ete,kg
,Kaki,Le kaki est un fruit,kaki.jpg,fruits,127,hiver,kg
,Kiwi,Le kiwi est un fruit,kiwi.jpg,fruits,61,ete;automne;printemps;hiver,kg
,Kumquat,Le kumquat est un fruit,kumquat.jpg,fruits,71,hiver,kg
,Laitue romaine,La laitue romaine est un légume,laitue_romaine.jpg,légumes,17,printemps;ete;automne,pièce(s)
,Litchi,Le litchi est un fruit,litchi.jpg,fruits,66,hiver;ete;automne;printemps,kg
,Méche,La méche est un légume,mache.jpg,légumes,21,hiver,pièce(s)
,Maés,Le maés est un légume,mais.jpg,légumes,365,ete;automne,pièce(s)
,Mandarine,La mandarine est un fruit,mandarine.jpg,fruits,53,automne;hiver,kg
,Mangue,La mangue est un fruit,mangue.jpg,fruits,60,ete;automne;hiver;printemps,pièce(s)
,Marron,Le marron est un fruit,marron.jpg,fruits,170,ete;automne,kg
,Melon,Le melon est un fruit,melon.jpg,fruits,34,ete,pièce(s)
